Question ID,Question Type,Difficulty Level,media_url,Question Text,Answer Options,Correct Answer,Skill Sets,Associated Skill,,
81,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_01.mp3,What does the woman imply?,"She'll give the man a ride., 
She'll take the car to a gas station.,
She'll look for a new car.,
She'll ask for help.",She'll give the man a ride.,Understanding implied meaning,Listening & Comprehension,,
82,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_02.mp3,What does the man imply?,"Spring will come soon.,
He likes nice days.,
He can't wait until spring is here.,
It's about time for the weather to change.","Spring will come soon.
",Understanding implied meaning,Listening & Comprehension,,
83,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_03.mp3,What does the woman mean?,"She cares for the science project.,
She doesn't know how to complete the project.,
She can't believe the work is due so soon.,
She doesn't like kidding.",She can't believe the work is due so soon.,Understanding implied meaning,Listening & Comprehension,,
84,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_04.mp3,What does the woman suggest about Todd?,"He doesn't come to biology class.,
He is studying all the time.,
He loves doing research at the library.,
He doesn't care about his grade point average.",He is studying all the time.,Making inferences,Listening & Comprehension,,
85,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_05.mp3,What does the woman mean?,"She doesn't think he is a good tennis player.,
She knows tennis will make her fit.,
She has no time to play.,
She won't start taking lessons next week.",She has no time to play.,Understanding implied meaning,Listening & Comprehension,,
86,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_06.mp3,What does the man mean?,"He doesn't need food.,
He prefers eating out to grocery shopping.,
He doesn't mind going with her later.,
He wants her to go alone.",He wants her to go alone.,Understanding implied meaning,Listening & Comprehension,,
87,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_07.mp3,What does the woman imply about the project?,"The project has been going on for some time., She seems to need more time to get ready.,
The highway project started not too long ago.,
She wouldn't like to be surprised.",The project has been going on for some time.,Understanding implied meaning,Listening & Comprehension,,
88,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_08.mp3,What does the man imply about the comics?,"He isn't sure they are that great., They are very good.,It's crazy to read them., He reads the Sunday newspaper just for them.",They are very good.,Making inferences,Listening & Comprehension,,
89,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_09.mp3,What does the man mean?," He's not gone out yet.,
 He doesn't think it's his job to take the dog for a walk.,
 He didn't think the dog was supposed to be out.,
 He didn't care to be with the dog all day.","
He doesn't think it's his job to take the dog for a walk.",Understanding implied meaning,Listening & Comprehension,,
90,Auditory,Easy,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Easy+Band/1_10.mp3,What does the woman imply?,"The author's latest book is not selling well.,
The bookstore attracts large crowds during social events.,
The author will be signing a contract with the bookstore later.,
The author is autographing her book.",The author is autographing her book.,Understanding implied meaning,Listening & Comprehension,,
91,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/1_14.mp3,What does the woman mean?,"The piano is too heavy to move around alone, She won't give him a hand, She'd like him to help her, It'd be nice if someone could help with the move",She'd like him to help her,Listening Comprehension,Listening & Comprehension,,
92,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/1_16.mp3,What does the woman imply?,"The long wait discourages many customers, Her parents would probably like the menu, She'd have to make a reservation, The restaurant is very popular",The restaurant is very popular,Listening Comprehension,Listening & Comprehension,,
